"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","PROD_ID","SPICEPREFIX","VALUE",
"1","","CONN_022.54_SCREW","1X02_2.54_SCREWTERM","J12","Genaric 2 terminal header","ED10561-ND","","OnShore","OSTVN02A150","","","",
"1","","CONN_023.5MM-NO_SILK","SCREWTERMINAL-3.5MM-2-NS","J2","Genaric 2 terminal header","ED2635-ND","","On Shore Technology","OSTTE020161","CONN-08399","","",
"1","","CONN_0239532_RA","1X02_39532_RIGHT","J1","Genaric 2 terminal header","WM7845-ND","","Molex","0395321002","","","",
"1","","DIODESOD-123","SOD-123","D1","Genaric Diode","1N5819HW-FDICT-ND","","Diodes Incorporated","1N5819HW-7-F","","","",
"3","","MOUNTING_HOLE2_NP","2_56","H1, H2, H3","Genaric Mechanical Mounting Hole","","","","","","","",
"4","0.1uF","C-EU0.1UFC0805","C0805","C3, C6, C7, C8","CAPACITOR, European symbol","399-8000-1-ND","","Kemet","C0805C104M3RACTU","","","",
"1","0.33uF","C-EU0.33UFC0805","C0805","C2","CAPACITOR, European symbol","311-1888-1-ND","","Yageo","CC0805KKX7R9BB334","","","",
"1","1000uF","CPOL-EUG","PANASONIC_G","C1","POLARIZED CAPACITOR, European symbol","P122428CT-ND","","Panasonic","EEE-FT1E102UP","","C","",
"1","100k","R-EU_100KR0805","R0805","R1","RESISTOR, European symbol","311-100KCRCT-ND","","Yageo","RC0805FR-07100KL","","","",
"2","10k","R-EU_10KR0805","R0805","R2, R3","RESISTOR, European symbol","311-10.0KCRCT-ND","","Yageo","RC0805FR-0710KL","","","",
"2","1uF","C-EU1UFC0805","C0805","C4, C5","CAPACITOR, European symbol","311-1456-1-ND","","Yageo","CC0805KKX7R8BB105","","","",
"1","50/150mA","PPTC150MA1206","1206","F1","Bel Fuse PPTC","507-1793-1-ND","","Bell Fuse","0ZCJ0005FF2E","","","50/150mA",
"1","CD74HC4052PW","CD74HC4052PW","TSSOP16","U1","CD74HC4052 - Dual 4x1 Analog Multiplexer/Demultiplexer","296-17619-1-ND","","TI","CD74HC4052PWR","","","",
"7","CONN_32.54_SCREW","CONN_32.54_SCREW","1X03_SCREW","J3, J4, J5, J6, J7, J8, J9","Genaric 3 terminal header","ED10562-ND","","On Shore","OSTVN03A150","","","",
"2","CONN_42.54_SCREW","CONN_42.54_SCREW","1X04_SCREW","J11, J14","Genaric 4 terminal header","ED10563-ND","","On Shore","OSTVN04A150","","","",
"1","DIODE_CCSDM40E20LCSOT23","DIODE_CCSDM40E20LCSOT23","SOT23-3","D2","Dual Diode, Common Cathode","SDM40E20LC-7DICT-ND","","Diodes Incorporated","SDM40E20LC-7","","","",
"1","JUMPER-SMT_3_1-NC_PASTE_SILK","JUMPER-SMT_3_1-NC_PASTE_SILK","SMT-JUMPER_3_1-NC_PASTE_SILK","JP1","Normally closed solder jumper (1 of 2 connections)","","","","","","","",
"1","LORA32U4II","LORA32U4II","LORA32U4II","J10","LoRa 32u4 Mounting Header","","","","","","","",
"1","MCP23008SSOP","MCP23008SSOP","SSOP20","U2","MCP23008 - I2C I/O Expander, 8 bit wtih interrupt and reset","MCP23008T-E/SSCT-ND","","Microchip","MCP23008T-E/SS","","","",
"1","MCP3421A3","MCP3421A3","SOT23-6L","U5","MCP342* - Sigma Delta ADC","MCP3421A3T-E/CHCT-ND","MCP3421","Microchip","MCP3421A3T-E/CH","","","",
"1","POWER_JACK","POWER_JACK","POWER_JACK_PTH","J13","Power Jack Connector","CP-202A-ND","","CUI","PJ-202A","CONN-08197","","",
"1","TC1262-3.3V","TC1262-3.3V","SOT223","U3","TC1262-* - Positive Voltage Regulator","TC1262-3.3VDBCT-ND","TC1262-3.3V","Microchip","TC1262-3.3VDBTR","","","",
"6","TESTPOINTRCU","TESTPOINTRCU","TESTPOINT_0603","TP1, TP2, TP3, TP4, TP5, TP6","","A106145CT-ND","","TE Connectivity","RCU-0C","","","",
"1","UA78M05SOT223","UA78M05SOT223","SOT223","U4","UA78M* - Positive Voltage Regulator","296-17616-1-ND","UA78M05","TI","UA78M05IDCYR","","","",
