x,Red,Green,Blue
322.68,-0.00031,0.00073,-0.00262
324.7,-0.00041,0.00055,-0.00249
331.75,-0.00079,-9e-05,-0.00218
342.67,-0.00137,-0.00128,-0.00261
343.18,-0.0014,-0.00135,-0.00266
361.46,-0.00236,-0.0031,-0.00478
366.25,-0.00259,-0.00313,-0.00486
370.37,-0.00272,-0.00299,-0.00462
384.81,-0.00165,-0.00186,-0.00137
392.64,0.00081,-0.00138,0.00191
394.43,0.00174,-0.00139,0.00297
396.21,0.00287,-0.0014,0.01155
403.33,0.0101,0.00337,0.04015
405.56,0.0136,0.00701,0.077
406.88,0.01609,0.00939,0.10311
407.44,0.01724,0.01041,0.11088
415.77,0.03937,0.0265,0.19849
422.87,0.05192,0.04009,0.29006
425.82,0.05183,0.04543,0.32912
428.29,0.04926,0.04965,0.35579
431.76,0.04302,0.05507,0.38543
444.84,0.0106,0.07424,0.46616
445.99,0.00809,0.0769,0.47317
448.47,0.00353,0.08448,0.48934
455.01,-0.00106,0.11828,0.51642
455.34,-0.00103,0.12037,0.51704
467.52,0.00378,0.18644,0.52283
472.81,0.00179,0.20601,0.51557
474.5,0.00086,0.21134,0.51128
488.79,-0.00116,0.24897,0.41967
494.25,0.00373,0.26362,0.37764
499.52,0.01209,0.28228,0.34045
501.29,0.01551,0.29332,0.32806
503.07,0.01917,0.35859,0.31551
513.74,0.04366,0.45015,0.23691
513.8,0.0438,0.45074,0.23646
519.06,0.05568,0.54553,0.19773
525.54,0.0675,0.61795,0.15992
526.32,0.06854,0.62127,0.15626
528.08,0.07041,0.62566,0.14867
536.87,0.0703,0.61037,0.12008
545.02,0.0624,0.57488,0.10063
549.49,0.07245,0.55201,0.09139
554.1,0.10664,0.52623,0.08247
554.72,0.11212,0.52257,0.08132
563.72,0.1982,0.46055,0.06682
567.22,0.23951,0.43096,0.06283
567.32,0.24086,0.43005,0.06273
570.82,0.28977,0.39814,0.06038
577.94,0.39479,0.32791,0.06048
578.97,0.41035,0.31718,0.06077
585.02,0.50343,0.25397,0.06303
586.88,0.5298,0.23632,0.06381
588.71,0.55466,0.21985,0.0646
592.13,0.59881,0.18856,0.06609
595.82,0.6452,0.1409,0.06773
599.23,0.6942,0.08132,0.06926
604.55,0.78577,0.06494,0.07166
604.76,0.78817,0.06457,0.07175
615.22,0.88114,0.05243,0.07648
623.3,0.93072,0.04715,0.08009
629.48,0.88493,0.04412,0.08277
631.49,0.86678,0.04325,0.0836
636.61,0.81597,0.04121,0.08579
638.42,0.78952,0.04053,0.10485
642.11,0.70277,0.03917,0.11823
645.76,0.7111,0.03778,0.12709
648.86,0.71745,0.03648,0.13031
649.83,0.7146,0.03603,0.12996
654.52,0.60633,0.03352,0.1137
658.11,0.51092,0.03081,0.08816
658.23,0.50799,0.0307,0.08736
661.7,0.41552,0.02569,0.06753
662.14,0.40366,0.02454,0.06528
665.29,0.32011,0.01608,0.04947
666.93,0.27516,0.01418,0.04012
668.88,0.22853,0.01279,0.02684
670.85,0.19079,0.01191,0.018
674.26,0.13312,0.01099,0.01086
677.63,0.08552,0.01047,0.00767
683.94,0.0484,0.01,0.0054
704.26,0.04008,0.01004,0.00598
705.96,0.04013,0.01006,0.00617
715.29,0.03728,0.01019,0.00712
733.11,0.02998,0.01078,0.00756
737.39,0.0292,0.01118,0.00736
749.16,0.02817,0.01332,0.00562
755.35,0.0279,0.01355,0.00263
759.86,0.02772,0.01294,0.00322
775.89,0.02608,0.0094,0.00718
779.5,0.02516,0.00869,0.00829
798.64,0.018,0.01322,0.01601
798.87,0.01806,0.01346,0.01613
802.63,0.02126,0.01833,0.0184
809.95,0.03842,0.03227,0.02531
813.46,0.04768,0.04108,0.03217
816.22,0.05352,0.04886,0.04365
824.09,0.05959,0.05669,0.05869
824.12,0.05958,0.05668,0.0587
825.57,0.05886,0.056,0.0589
836.5,0.04242,0.04492,0.04123
841.43,0.03154,0.03752,0.02754
843.5,0.0269,0.03381,0.02347
847.87,0.01923,0.0242,0.01831
857,0.01334,0.01377,0.0148
858.1,0.01303,0.01335,0.01465
875.72,0.0109,0.01166,0.01444
894.85,0.011,0.01258,0.01486
896.84,0.01108,0.01267,0.01487
920.29,0.0121,0.01236,0.01435
928.01,0.01205,0.01141,0.01383
934.82,0.01168,0.01002,0.01325
954.4,0.00916,0.00715,0.01126
963.07,0.00781,0.00658,0.01046
975.49,0.0063,0.00597,0.00998
987.58,0.00644,0.00542,0.00945
1003.44,0.00776,0.00457,0.00757
1010.26,0.00776,0.00404,0.0067
1021.23,0.00731,0.00271,0.00557
1040.58,0.00617,-0.00023,0.00571
1040.58,0.00617,-0.00023,0.00571
1047.74,0.0059,-0.00043,0.006
1065.69,0.00537,6e-05,0.00612
1073.71,0.00439,0.00031,0.00604
1082.06,0.0028,0.00017,0.00593
1084.44,0.0023,-2e-05,0.0059
1090.56,0.00104,-0.00092,0.00587
1093.42,0.00051,-0.00141,0.00591
